"fullName","authorId","university","department","city","country"
"Akanksha Mishra","57218166042","Sharda University","Department of Mechanical Engineering","Greater Noida","India"
"Thangavelu Krithiga","8572393700","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Manoj Kumar-Mishra","60227633300","Sharda University","Sharda University","Greater Noida","India"
"Shaily Chauhan","57275441600","Sharda University","Department of Life Science","Greater Noida","India"
"Piyush Kumar Gupta","57220905930","Sharda University","Sharda University","Greater Noida","India"
"Vatsal Jain","59927224200","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Sakshi Chauhan","59055472500","Sharda University","Department of Biotechnology","Greater Noida","India"
"Keshav Kaushik","57189443247","Sharda University","Sharda University","Greater Noida","India"
"V. Naga Bhushana Rao","60364722200","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Aditya Dayal Tyagi","59385101300","Sharda University","Department of Computer Science and Applications","Greater Noida","India"
"Yogesh Sharma","57197298248","Sharda University","Sharda University","Greater Noida","India"
"S. Lakshmi Sankar","60232008100","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Tarun Varshney","24780065700","Sharda University","Sharda University","Greater Noida","India"
"Kuldeep Chouhan","56118654900","Sharda University","Sharda University","Greater Noida","India"
"Paru Gautam","60348726600","Sharda University","School of Medical Sciences and Research","Greater Noida","India"
"Rohit Kumar Sachan","57170217300","Sharda University","Sharda University","Greater Noida","India"
"Ambika Nand Jha","58290962400","Sharda University","Sharda University","Greater Noida","India"
"Piyush Mittal","57195551893","Sharda University","Sharda University","Greater Noida","India"
"Soumya Pandit","15060348700","Sharda University","Department of Life Science","Greater Noida","India"
"Gunjan Garg","59301960300","Sharda University","Sharda University","Greater Noida","India"
"Manidipa Roy","60372014700","Sharda University","Department of Life Science","Greater Noida","India"
"Soumyajit Chandra","57553136900","Sharda University","Department of Life Science","Greater Noida","India"
"Naresh Kumar","58549159500","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"S. Suman","60352716000","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Ankita Behl","57191059415","Sharda University","Department of Life Science","Greater Noida","India"
"Amit Singh Pawaiya","57189664508","Sharda University","Department of Community Medicine","Greater Noida","India"
"Usman Saidu","57223184626","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Monika Srivastava","59280407300","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Abubakar Sadiq Umar","60243121700","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Bharti Jain","57958776900","Sharda University","Sharda University","Greater Noida","India"
"Himanshu Sharma","59729105700","Sharda University","Sharda University","Greater Noida","India"
"Abha Gahlot","57218210782","Sharda University","Department of Ophthalmology","Greater Noida","India"
"Ajay Singh Verma","14422688200","Sharda University","Sharda University","Greater Noida","India"
"Sanjog Chhetri Sapkota","58475240900","Sharda University","Department of Civil Engineering","Greater Noida","India"
"Irwanjot Kaur","58862764700","Sharda University","Sharda University","Greater Noida","India"
"Mansi M. Sharma","57198780718","Sharda University","Sharda University","Greater Noida","India"
"Karen Jaison","60241658400","Sharda University","Sharda University","Greater Noida","India"
"Pankaj Kumar Tripathi","57208691509","Sharda University","Department of Physics","Greater Noida","India"
"A. Agarwal","57191598251","Sharda University","Sharda University","Greater Noida","India"
"John Ayuba Godwin","59137147000","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Shruti P. Singh","57218165868","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Ishaku Joshua Dibal","60191394400","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Amit Kumar Gupta","60240738300","Sharda University","Department of Radiology","Greater Noida","India"
"Zarine Khan","59308867800","Sharda University","Department of Microbiology","Greater Noida","India"
"Rachna Rohtagi","60334121200","Sharda University","Department of Anatomy","Greater Noida","India"
"D. Barani","59673181300","Sharda University","Sharda University","Greater Noida","India"
"Bhumesh Tyagi","57226676144","Sharda University","School of Medical Sciences and Research","Greater Noida","India"
"Abdullahi Abdulkadir","60369991000","Sharda University","Department of Physics & Environment Sciences","Greater Noida","India"
"Har Mohan Singh","57205756327","Sharda University","Department of Physics & Environment Sciences","Greater Noida","India"
"Lavi Aluna","60369184500","Sharda University","Department of Physics & Environment Sciences","Greater Noida","India"
"Pramod Kumar Singh","35234762000","Sharda Group Of Institutions","Sharda Group Of Institutions","New Delhi","India"
"Kavita Goyal","59424064700","Sharda University","Sharda University","Greater Noida","India"
"Gunjan Singh","60245135100","Sharda University","Sharda University","Greater Noida","India"
"Pankaj Bansal","57193232212","Sharda University","Department of Medicine","Greater Noida","India"
"Manoj Kumar Ojha","57489832100","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Bhavin Parekh","60361965700","Sharda University","Sharda University","Greater Noida","India"
"Rohan Poudel","59987142800","Sharda University","Department of Computer Science and Applications","Greater Noida","India"
"Pollob Mollick Raza","60341863100","Sharda University","Department of Computer Science and Applications","Greater Noida","India"
"Anand Patwa","60341768500","Sharda University","Department of Computer Science and Applications","Greater Noida","India"
"Gungun Kumari","60342228000","Sharda University","Department of Computer Science and Applications","Greater Noida","India"
"Bodduru Kamesh","57212138773","Sharda University","Department of Mechanical Engineering","Greater Noida","India"
"Vikas Sharma","57200584420","Sharda University","Department of Pharmacology","Greater Noida","India"
"Mohini Singh","58082853200","Sharda University","Department of Life Science","Greater Noida","India"
"Shoaib Khan","60321297400","Sharda University","Department of Biotechnology","Greater Noida","India"
"Arpita Roy","57672913100","Sharda University","Sharda University","Greater Noida","India"
"Amit Singh Pawaiya","60310369700","Sharda University","Department of Community Medicine","Greater Noida","India"
"Himanshu Sharma","60200604700","Sharda University","Department of CSE","Greater Noida","India"
"Ankit Batra","59318450100","Sharda University","Department of Orthopaedics","Greater Noida","India"
"Kajal Rana","60260047100","Sharda University","Department of Biotechnology","Greater Noida","India"
"Sristi Kumari","60259862700","Sharda University","Department of Biotechnology","Greater Noida","India"
"Garima Chouhan","56304379000","Sharda University","Department of Biotechnology","Greater Noida","India"
"Dev Sehgal","60092186600","Sharda University","Department of Biotechnology","Greater Noida","India"
"Praveen Yadav","60259816600","Sharda University","Department of Biotechnology","Greater Noida","India"
"Abhay Tiwari","57207798384","Sharda University","Sharda University","Greater Noida","India"
"Rohit Saxena","60255575100","Sharda University","Department of Ear","Greater Noida","India"
"Suneyana Rawat","58349623400","Sharda University","Department of Physics & Environment Sciences","Greater Noida","India"
"Ram Chandra Singh","7407268050","Sharda University","Department of Physics & Environment Sciences","Greater Noida","India"
"S. Ali","57709391800","Sharda University","Sharda University","Greater Noida","India"
"Dayanand Sharma","57213216893","Sharda University","Department of Civil Engineering","Greater Noida","India"
"Tushar Bansal","57208405836","Sharda University","Department of Civil Engineering","Greater Noida","India"
"Nilofer Naqvi","57195149782","Sharda University","Department of Life Science","Greater Noida","India"
"Anwar Alam","57195761715","Sharda University","Department of Life Science","Greater Noida","India"
"Yashika Ahuja","58525754100","Sharda University","Department of Life Science","Greater Noida","India"
"Seyed Ehtesham Hasnain","57210232856","Sharda University","Department of Life Science","Greater Noida","India"
"Nasreen Z. Ehtesham","6701422131","Sharda University","Department of Life Science","Greater Noida","India"
"Vinita Sherlin Vinita","58773483300","Sharda University","Department of Chemistry and Biochemistry","Greater Noida","India"
"Geeta Durga","56624744900","Sharda University","Department of Chemistry and Biochemistry","Greater Noida","India"
"Amrita","60174918400","Sharda University","Sharda University","Greater Noida","India"
"Mehraj Ud Din Wani","59935679000","Sharda University","School of Business Studies","Greater Noida","India"
"Deepa Kumari","57216930781","Sharda University","School of Business Studies","Greater Noida","India"
"Honey Mittal","57205467163","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Anita Devi","60259699700","Sharda University","Sharda University","Greater Noida","India"
"Nayera Anjum","59941677500","Sharda University","Department of Chemistry and Biochemistry","Greater Noida","India"
"Suman Mallick","56038936700","Sharda University","Sharda University","Greater Noida","India"
"Ashu Goyal","60375630600","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Ankur Sharma","57225853834","Sharda University","Department of Anatomy","Greater Noida","India"
"P. K. Mishra","59035743700","Sharda University","Department of Computer Science and Engineering","Greater Noida","India"
"Bhavik Jain","59498993400","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Manish Kumar","59978370000","Sharda University","Sharda University","Greater Noida","India"
"Sandeep Kumar Singh","59049939700","Sharda University","Department of EECE","Greater Noida","India"
"Debashis K. Dutta","60192491000","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Khursheed Alam","57192586789","Sharda University","Department of Mathematics and Data Science","Greater Noida","India"
"Paratpar Sarkar","57190262066","Sharda University","Department of Chemistry and Biochemistry","Greater Noida","India"
"Mridula Guin","57190220276","Sharda University","Department of Chemistry and Biochemistry","Greater Noida","India"
"Vivek Srivastava","59685447500","Sharda University","Department of Chemistry and Biochemistry","Greater Noida","India"
"S. Shankara Narayanan","56219683600","Sharda University","Sharda University","Greater Noida","India"
"Yadala Sucharitha","57205682539","Sharda University","Department of CSE","Greater Noida","India"
"Vasala Saicharan","57212490042","Sharda University","Sharda University","Greater Noida","India"
"Sushmita Saha","60249420400","Sharda University","Department of Biotechnology","Greater Noida","India"
"Sandeep Kumar Shukla","60278478500","Sharda University","Department of Pharmacy","Greater Noida","India"
"Jyoti Malik","60021620600","Sharda University","Sharda University","Greater Noida","India"
"Jyoti Gautam","60256950700","Sharda University","Department of CSE","Greater Noida","India"
"Akanksha Namdeo","60021622800","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Pawan Singh Dhapola","57202688440","Sharda University","Sharda University","Greater Noida","India"
"Shubham Kathuria","57217127983","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Neelam Rawat","59188293000","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Swati Sharma","60247509100","Sharda University","Sharda University","Greater Noida","India"
"Devendra Kumar Singh","57253458400","Sharda University","Department of Respiratory Medicine","Greater Noida","India"
"Aditya Kumar Singh","60217589500","Sharda University","Department of Life Science","Greater Noida","India"
"Kiranmai Vadapalli","56955541100","Sharda University","Department of Physiology","Greater Noida","India"
"Anupam Agarwal","60177721800","Sharda University","Sharda School of Engineering and Sciences","Greater Noida","India"
"Anjali Varshney","59510123800","Sharda University","Department of Environmental Sciences","Greater Noida","India"
"Sunil Chauhan","37021165700","Sharda University","Sharda University","Greater Noida","India"
"Saicharan Vasala","60370510800","Sharda University","Department of Civil Engineering","Greater Noida","India"
"Bodduru Kamesh","60002296900","Sharda University","Department of Mechanical Engineering","Greater Noida","India"
"Dhirendra Kumar Verma","57420968600","Sharda University","Department of Mechanical Engineering","Greater Noida","India"
"Kumar Vijay Sandeep","57219301154","Sharda University","Sharda University","Greater Noida","India"
"Sally Lukose","57210698665","Sharda University","Sharda School of Allied and Healthcare Sciences","Greater Noida","India"
"Km.Rakhi","59370184500","Sharda University","Department of Biotechnology","Greater Noida","India"
"Rittik Bhati","58773053400","Sharda University","Department of Biotechnology","Greater Noida","India"
"Monika Jain","57216483507","Sharda University","Department of Biotechnology","Greater Noida","India"
"Amit Kumar Singh","59636207000","Sharda University","Sharda University","Greater Noida","India"
"Jayaraman Muthukumaran","35071743100","Sharda University","Sharda University","Greater Noida","India"
"Zatin Gupta","57697450100","Sharda University","Sharda University","Greater Noida","India"
"Naman Kaushik","59812422200","Sharda University","Sharda University","Greater Noida","India"
"Jayant Baisla","59809054100","Sharda University","Sharda University","Greater Noida","India"
"Rashmi Rathi Upadhyay","58355941400","Sharda University","Department of Computer Science and Engineering","Greater Noida","India"
"Supriya Saxena","59915592600","Sharda University","Sharda University","Greater Noida","India"
"Shiv Kumar Verma","60377714500","Sharda University","Department of Computer Science and Applications","Greater Noida","India"
"Prashasti Singh","60374553600","Sharda University","Department of Life Science","Greater Noida","India"
"Ramesh Joshi","58281320600","Sharda University","Department of Life Science","Greater Noida","India"
"Hussaini Umara Bulakarima","60374707900","Sharda University","Department of Life Science","Greater Noida","India"
"Amarjeet Yadav","60375507400","Sharda University","Department of Life Science","Greater Noida","India"
"Ibrahim Baba Shehu","60374553700","Sharda University","Department of Life Science","Greater Noida","India"